"tree_age","simulation","min_ess","all_ess_above_thresh","split_rmsd","split_rmsd_below_thresh"
1,1,310.8,TRUE,1e-04,TRUE
10,1,3.8,FALSE,2e-04,TRUE
11,1,6.6,FALSE,2e-04,TRUE
12,1,6.2,FALSE,2e-04,TRUE
13,1,3.3,FALSE,2e-04,TRUE
14,1,9.7,FALSE,2e-04,TRUE
15,1,6.6,FALSE,2e-04,TRUE
16,1,13.2,FALSE,2e-04,TRUE
17,1,11.7,FALSE,2e-04,TRUE
2,1,176.2,FALSE,1e-04,TRUE
3,1,101.1,FALSE,1e-04,TRUE
4,1,76.3,FALSE,1e-04,TRUE
5,1,50.2,FALSE,2e-04,TRUE
6,1,82.6,FALSE,2e-04,TRUE
7,1,83.1,FALSE,2e-04,TRUE
8,1,49.9,FALSE,2e-04,TRUE
9,1,31.7,FALSE,2e-04,TRUE
1,10,410.3,TRUE,1e-04,TRUE
10,10,13.4,FALSE,2e-04,TRUE
11,10,3.8,FALSE,2e-04,TRUE
12,10,18.4,FALSE,2e-04,TRUE
13,10,9.2,FALSE,2e-04,TRUE
14,10,3.2,FALSE,2e-04,TRUE
15,10,12.4,FALSE,2e-04,TRUE
16,10,10.4,FALSE,2e-04,TRUE
17,10,7.1,FALSE,2e-04,TRUE
2,10,254.7,TRUE,1e-04,TRUE
3,10,100.7,FALSE,1e-04,TRUE
4,10,76.6,FALSE,1e-04,TRUE
5,10,42.1,FALSE,1e-04,TRUE
6,10,49.9,FALSE,1e-04,TRUE
7,10,52.5,FALSE,2e-04,TRUE
8,10,45.2,FALSE,2e-04,TRUE
9,10,22.5,FALSE,2e-04,TRUE
1,11,70.1,FALSE,1e-04,TRUE
10,11,10.3,FALSE,2e-04,TRUE
11,11,10.1,FALSE,2e-04,TRUE
12,11,13.4,FALSE,2e-04,TRUE
13,11,6.6,FALSE,2e-04,TRUE
14,11,3.9,FALSE,2e-04,TRUE
15,11,6.2,FALSE,2e-04,TRUE
16,11,4,FALSE,2e-04,TRUE
17,11,NA,FALSE,2e-04,TRUE
2,11,134.8,FALSE,1e-04,TRUE
3,11,85.1,FALSE,2e-04,TRUE
4,11,29.4,FALSE,2e-04,TRUE
5,11,23.9,FALSE,2e-04,TRUE
6,11,13.8,FALSE,2e-04,TRUE
7,11,18.1,FALSE,2e-04,TRUE
8,11,3.8,FALSE,2e-04,TRUE
9,11,16.7,FALSE,2e-04,TRUE
1,12,125.5,FALSE,1e-04,TRUE
10,12,11.7,FALSE,2e-04,TRUE
11,12,NA,FALSE,2e-04,TRUE
12,12,4.4,FALSE,2e-04,TRUE
13,12,4.9,FALSE,2e-04,TRUE
14,12,NA,FALSE,2e-04,TRUE
15,12,1.6,FALSE,2e-04,TRUE
